gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,internal math marks,internal reading marks,internal writing marks
female,group C,some college,standard,none,92,65,75,28,20,22
female,group D,some college,free/reduced,completed,62,80,88,19,24,26
female,group B,some high school,standard,none,82,57,75,25,17,22
male,group E,some college,standard,none,51,56,60,15,17,18
female,group D,master's degree,standard,none,58,47,75,17,14,22
female,group B,associate's degree,standard,completed,59,52,88,18,16,26
male,group C,some college,free/reduced,none,63,67,66,19,20,20
female,group E,associate's degree,standard,completed,74,45,48,22,14,14
female,group D,master's degree,free/reduced,none,60,100,70,18,30,21
female,group B,some high school,standard,none,64,47,66,19,14,20
male,group A,high school,standard,none,86,58,72,26,17,22
male,group B,bachelor's degree,free/reduced,none,68,59,53,20,18,16
male,group C,master's degree,standard,none,51,82,68,15,25,20
female,group C,bachelor's degree,standard,none,53,39,61,16,12,18
male,group D,some college,standard,none,90,71,64,27,21,19
male,group A,some high school,standard,none,72,66,65,22,20,20
male,group D,some high school,free/reduced,none,71,64,75,21,19,22
female,group B,some high school,standard,completed,56,48,75,17,14,22
female,group B,master's degree,free/reduced,completed,68,34,83,20,10,25
female,group C,some high school,standard,completed,25,60,68,8,18,20
female,group D,some college,standard,none,61,53,70,18,16,21
female,group E,some college,standard,completed,77,74,52,23,22,16
female,group D,some high school,standard,completed,68,80,42,20,24,13
female,group B,high school,free/reduced,completed,66,63,64,20,19,19
male,group D,some college,standard,none,59,77,30,18,23,9
female,group C,associate's degree,standard,none,77,63,66,23,19,20
male,group D,bachelor's degree,standard,none,80,50,63,24,15,19
male,group C,master's degree,free/reduced,none,45,85,43,14,26,13
male,group C,high school,standard,completed,85,43,31,26,13,9
male,group E,some college,standard,none,49,82,69,15,25,21
male,group C,some high school,free/reduced,completed,65,63,59,20,19,18
female,group C,high school,free/reduced,none,32,76,63,10,23,19
female,group D,bachelor's degree,free/reduced,none,71,67,64,21,20,19
female,group C,associate's degree,standard,none,83,60,46,25,18,14
female,group C,associate's degree,standard,completed,50,65,53,15,20,16
female,group C,some high school,standard,none,71,60,89,21,18,27
male,group E,associate's degree,standard,completed,49,83,72,15,25,22
female,group E,associate's degree,standard,completed,72,71,53,22,21,16
male,group B,high school,standard,completed,89,62,82,27,19,25
female,group C,bachelor's degree,free/reduced,completed,52,86,45,16,26,14
male,group C,associate's degree,standard,completed,91,77,53,27,23,16
female,group D,high school,standard,none,58,84,58,17,25,17
male,group E,bachelor's degree,standard,completed,76,100,72,23,30,22
male,group A,associate's degree,standard,completed,70,73,90,21,22,27
male,group C,high school,standard,completed,70,63,59,21,19,18
male,group D,associate's degree,free/reduced,completed,59,56,80,18,17,24
female,group C,associate's degree,standard,none,99,70,60,30,21,18
female,group D,associate's degree,standard,none,52,96,63,16,29,19
female,group D,master's degree,standard,none,76,56,48,23,17,14
male,group E,some high school,free/reduced,completed,71,33,100,21,10,30
female,group A,some high school,standard,completed,56,63,60,17,19,18
male,group C,high school,standard,completed,84,64,72,25,19,22
female,group C,high school,free/reduced,none,70,70,71,21,21,21
male,group C,master's degree,standard,none,83,70,92,25,21,28
male,group C,some high school,free/reduced,none,71,56,54,21,17,16
male,group B,bachelor's degree,free/reduced,completed,64,100,100,19,30,30
female,group B,associate's degree,standard,none,53,59,62,16,18,19
male,group D,some college,free/reduced,none,51,84,62,15,25,19
male,group E,associate's degree,standard,none,60,57,50,18,17,15
female,group C,some college,free/reduced,none,35,57,36,10,17,11
female,group C,associate's degree,standard,completed,93,58,88,28,17,26
male,group C,master's degree,free/reduced,none,61,72,69,18,22,21
female,group B,associate's degree,free/reduced,none,39,57,92,12,17,28
male,group D,some high school,standard,none,78,45,44,23,14,13
female,group D,some college,standard,completed,52,70,69,16,21,21
female,group C,some college,standard,none,64,69,100,19,21,30
male,group C,bachelor's degree,standard,completed,63,65,72,19,20,22
female,group D,some college,free/reduced,completed,89,60,73,27,18,22
male,group B,bachelor's degree,free/reduced,none,100,77,74,30,23,22
male,group B,associate's degree,standard,none,73,83,68,22,25,20
female,group E,bachelor's degree,free/reduced,completed,78,62,66,23,19,20
female,group D,master's degree,free/reduced,completed,68,73,95,20,22,28
male,group B,high school,free/reduced,none,56,63,55,17,19,16
male,group D,bachelor's degree,free/reduced,none,82,79,90,25,24,27
male,group B,some college,standard,completed,63,79,71,19,24,21
male,group A,bachelor's degree,standard,none,70,73,80,21,22,24
female,group C,some college,standard,none,80,69,100,24,21,30
female,group C,high school,free/reduced,completed,84,56,55,25,17,16
female,group E,high school,standard,none,45,97,62,14,29,19
male,group A,associate's degree,free/reduced,completed,54,81,55,16,24,16
male,group A,some college,standard,completed,85,70,42,26,21,13
female,group B,high school,standard,none,66,69,72,20,21,22
female,group B,some college,free/reduced,completed,65,91,59,20,27,18
female,group D,master's degree,standard,none,59,83,65,18,25,20
female,group D,some high school,standard,none,57,64,68,17,19,20
female,group E,some high school,standard,none,49,41,77,15,12,23
female,group D,bachelor's degree,free/reduced,none,21,62,77,6,19,23
female,group D,associate's degree,standard,completed,46,69,74,14,21,22
female,group D,some college,standard,none,56,67,70,17,20,21
female,group C,associate's degree,standard,none,47,51,40,14,15,12
female,group A,high school,standard,none,55,96,55,16,29,16
female,group C,bachelor's degree,free/reduced,none,70,62,64,21,19,19
female,group C,some college,standard,none,61,71,74,18,21,22
female,group A,some high school,standard,none,48,100,62,14,30,19
male,group C,some college,free/reduced,none,54,85,96,16,26,29
male,group A,some high school,standard,none,62,68,69,19,20,21
male,group E,bachelor's degree,standard,none,60,57,96,18,17,29
female,group E,high school,standard,none,74,67,58,22,20,17
female,group C,bachelor's degree,standard,completed,66,59,51,20,18,15
female,group C,bachelor's degree,standard,completed,93,45,63,28,14,19
male,group B,high school,free/reduced,none,72,80,78,22,24,23
male,group A,some high school,standard,none,86,61,78,26,18,23
female,group D,high school,standard,none,54,74,76,16,22,23
female,group D,some high school,standard,none,40,55,92,12,16,28
female,group D,master's degree,standard,none,60,52,65,18,16,20
female,group C,high school,standard,none,74,78,62,22,23,19
female,group E,some college,standard,none,64,73,53,19,22,16
male,group D,high school,free/reduced,none,51,66,70,15,20,21
male,group D,master's degree,free/reduced,completed,37,61,86,11,18,26
male,group C,some high school,standard,none,63,70,60,19,21,18
female,group C,associate's degree,standard,none,71,67,96,21,20,29
female,group C,master's degree,free/reduced,none,53,39,84,16,12,25
female,group E,some college,standard,none,60,71,77,18,21,23
female,group B,associate's degree,standard,none,67,66,82,20,20,25
male,group D,some college,free/reduced,completed,77,38,83,23,11,25
female,group C,some college,standard,none,53,55,53,16,16,16
male,group C,bachelor's degree,standard,completed,100,38,51,30,11,15
female,group C,associate's degree,standard,none,32,50,79,10,15,24
female,group A,associate's degree,standard,none,79,76,36,24,23,11
female,group C,high school,standard,none,59,81,63,18,24,19
female,group E,bachelor's degree,standard,none,66,45,77,20,14,23
male,group D,bachelor's degree,standard,none,59,72,53,18,22,16
male,group D,master's degree,standard,none,39,76,72,12,23,22
male,group C,associate's degree,free/reduced,completed,73,78,66,22,23,20
female,group C,high school,free/reduced,none,54,68,41,16,20,12
male,group B,bachelor's degree,free/reduced,none,45,76,31,14,23,9
male,group C,high school,free/reduced,completed,67,82,100,20,25,30
male,group A,some college,standard,completed,40,71,42,12,21,13
female,group E,bachelor's degree,free/reduced,none,57,60,72,17,18,22
male,group D,some college,standard,completed,65,56,50,20,17,15
male,group B,associate's degree,free/reduced,completed,83,54,49,25,16,15
male,group D,associate's degree,standard,none,68,81,81,20,24,24
male,group D,some college,free/reduced,none,75,64,53,22,19,16
female,group C,some high school,standard,completed,25,47,51,8,14,15
male,group D,some college,standard,none,67,58,73,20,17,22
male,group B,high school,standard,none,73,77,61,22,23,18
female,group B,bachelor's degree,standard,completed,58,71,57,17,21,17
female,group C,high school,standard,none,67,60,75,20,18,22
male,group D,some high school,standard,none,86,86,55,26,26,16
male,group A,high school,standard,none,69,61,53,21,18,16
female,group B,high school,free/reduced,completed,68,73,71,20,22,21
female,group D,some high school,standard,completed,36,60,77,11,18,23
male,group E,some college,standard,none,77,44,45,23,13,14
female,group D,associate's degree,standard,none,53,79,75,16,24,22
male,group D,high school,standard,none,64,78,60,19,23,18
female,group D,associate's degree,free/reduced,completed,66,74,68,20,22,20
female,group B,some high school,free/reduced,none,58,86,44,17,26,13
female,group E,high school,standard,completed,76,75,79,23,22,24
male,group B,high school,standard,none,71,84,69,21,25,21
female,group B,bachelor's degree,standard,completed,34,46,100,10,14,30
female,group D,associate's degree,standard,none,60,60,55,18,18,16
female,group E,high school,free/reduced,none,55,59,66,16,18,20
female,group B,high school,standard,none,60,47,56,18,14,17
female,group D,some college,standard,completed,73,67,73,22,20,22
male,group C,some high school,free/reduced,completed,57,56,53,17,17,16
female,group A,high school,standard,completed,74,87,74,22,26,22
female,group D,some college,standard,completed,74,56,53,22,17,16
female,group A,associate's degree,standard,completed,69,58,94,21,17,28
female,group B,some high school,standard,none,69,89,69,21,27,21
female,group B,some college,standard,none,62,85,64,19,26,19
male,group C,associate's degree,free/reduced,none,100,64,49,30,19,15
male,group D,some high school,standard,none,54,67,74,16,20,22
female,group D,associate's degree,free/reduced,none,81,48,84,24,14,25
male,group D,associate's degree,standard,none,60,68,93,18,20,28
male,group C,some college,free/reduced,none,43,74,70,13,22,21
male,group C,some high school,standard,none,82,55,54,25,16,16
female,group D,some college,free/reduced,none,58,66,73,17,20,22
female,group C,high school,standard,none,32,61,42,10,18,13
male,group D,associate's degree,standard,none,36,71,57,11,21,17
female,group C,some high school,free/reduced,completed,80,84,84,24,25,25
female,group C,some college,free/reduced,completed,52,65,68,16,20,20
female,group B,bachelor's degree,free/reduced,none,65,58,83,20,17,25
male,group C,some college,standard,none,79,77,100,24,23,30
male,group D,associate's degree,standard,completed,61,79,91,18,24,27
female,group C,high school,free/reduced,none,47,60,47,14,18,14
male,group D,associate's degree,free/reduced,none,76,69,89,23,21,27
female,group C,some college,standard,none,79,75,71,24,22,21
female,group C,associate's degree,standard,completed,100,72,93,30,22,28
female,group D,high school,standard,completed,63,55,67,19,16,20
female,group B,some college,standard,completed,55,70,57,16,21,17
female,group E,some college,standard,completed,66,47,36,20,14,11
female,group C,some high school,standard,completed,53,64,48,16,19,14
male,group D,associate's degree,free/reduced,none,82,79,84,25,24,25
male,group D,some college,free/reduced,none,54,100,78,16,30,23
female,group D,high school,standard,none,45,68,81,14,20,24
male,group B,high school,standard,none,84,64,59,25,19,18
male,group B,high school,standard,none,61,83,84,18,25,25
female,group C,some high school,free/reduced,completed,46,76,66,14,23,20
male,group B,some college,standard,completed,85,66,89,26,20,27
female,group E,master's degree,standard,completed,96,40,90,29,12,27
male,group E,some college,standard,completed,72,75,77,22,22,23
male,group D,associate's degree,free/reduced,none,52,68,62,16,20,19
male,group A,high school,free/reduced,none,46,51,60,14,15,18
male,group E,some college,free/reduced,none,57,92,46,17,28,14
female,group C,associate's degree,standard,none,60,68,77,18,20,23
female,group E,associate's degree,free/reduced,none,65,42,77,20,13,23
female,group C,bachelor's degree,free/reduced,completed,57,63,86,17,19,26
female,group D,associate's degree,standard,none,83,92,43,25,28,13
female,group C,some high school,standard,none,64,66,63,19,20,19
female,group D,some college,free/reduced,none,63,71,57,19,21,17
female,group C,associate's degree,standard,completed,100,31,100,30,9,30
female,group A,bachelor's degree,standard,none,55,88,75,16,26,22
female,group D,associate's degree,standard,completed,51,62,49,15,19,15
male,group C,high school,free/reduced,none,55,97,50,16,29,15
female,group E,bachelor's degree,standard,completed,70,89,73,21,27,22
female,group B,some high school,standard,none,70,86,66,21,26,20
male,group A,bachelor's degree,standard,completed,64,55,81,19,16,24
female,group D,some college,standard,none,69,53,84,21,16,25
female,group B,some high school,free/reduced,completed,85,53,61,26,16,18
male,group A,bachelor's degree,free/reduced,none,45,86,61,14,26,18
male,group D,high school,standard,none,86,90,51,26,27,15
male,group C,some college,standard,none,61,95,52,18,28,16
male,group D,high school,standard,none,73,70,67,22,21,20
female,group D,associate's degree,free/reduced,completed,89,59,43,27,18,13
male,group C,some college,standard,completed,46,60,67,14,18,20
female,group E,some high school,standard,completed,67,64,68,20,19,20
female,group D,some college,standard,none,54,48,51,16,14,15
male,group D,master's degree,standard,none,62,98,62,19,29,19
female,group B,some high school,standard,completed,70,87,33,21,26,10
female,group B,associate's degree,free/reduced,completed,70,58,60,21,17,18
male,group C,associate's degree,standard,completed,64,68,83,19,20,25
female,group C,associate's degree,standard,completed,82,55,68,25,16,20
female,group C,high school,standard,none,57,51,73,17,15,22
male,group E,associate's degree,free/reduced,completed,66,58,79,20,17,24
female,group C,some college,free/reduced,none,29,70,74,9,21,22
male,group D,some high school,free/reduced,completed,69,57,68,21,17,20
female,group B,some high school,free/reduced,completed,51,70,82,15,21,25
male,group C,high school,standard,none,62,62,74,19,19,22
male,group B,some college,standard,none,75,56,79,22,17,24
male,group E,some college,standard,completed,70,61,63,21,18,19
female,group E,associate's degree,standard,completed,83,66,73,25,20,22
male,group E,some high school,standard,completed,54,63,70,16,19,21
female,group D,high school,free/reduced,none,66,77,75,20,23,22
male,group C,some college,standard,none,80,60,93,24,18,28
female,group B,associate's degree,free/reduced,completed,58,64,100,17,19,30
male,group A,some high school,free/reduced,none,89,45,64,27,14,19
female,group C,some college,standard,completed,80,82,100,24,25,30
male,group D,some high school,standard,none,51,58,92,15,17,28
female,group E,some college,free/reduced,none,47,47,53,14,14,16
male,group C,master's degree,standard,none,76,62,36,23,19,11
male,group C,associate's degree,standard,none,83,76,56,25,23,17
female,group B,some college,free/reduced,completed,60,75,60,18,22,18
male,group D,associate's degree,standard,none,79,77,71,24,23,21
male,group C,high school,free/reduced,none,62,90,54,19,27,16
male,group D,bachelor's degree,standard,none,61,69,59,18,21,18
female,group A,associate's degree,free/reduced,none,72,75,50,22,22,15
female,group C,high school,standard,none,69,73,69,21,22,21
female,group C,associate's degree,standard,completed,84,89,62,25,27,19
male,group B,some college,free/reduced,none,71,66,77,21,20,23
male,group D,associate's degree,standard,none,52,67,65,16,20,20
male,group D,high school,standard,none,64,85,70,19,26,21
male,group C,some college,standard,none,67,53,55,20,16,16
female,group C,bachelor's degree,free/reduced,none,57,73,67,17,22,20
male,group B,some college,standard,completed,64,64,76,19,19,23
male,group D,some high school,standard,completed,63,56,64,19,17,19
male,group E,some college,standard,none,59,90,55,18,27,16
male,group C,master's degree,free/reduced,completed,72,82,92,22,25,28
female,group C,some high school,standard,completed,66,71,67,20,21,20
male,group C,associate's degree,free/reduced,none,36,68,58,11,20,17
female,group E,associate's degree,standard,none,45,89,52,14,27,16
male,group D,some college,standard,none,71,73,88,21,22,26
male,group E,bachelor's degree,free/reduced,completed,50,50,72,15,15,22
female,group D,some college,free/reduced,completed,69,67,64,21,20,19
male,group B,some college,standard,completed,78,77,59,23,23,18
female,group C,high school,free/reduced,none,70,74,96,21,22,29
female,group D,some high school,standard,none,80,83,43,24,25,13
male,group D,some high school,standard,completed,61,38,81,18,11,24
female,group B,high school,standard,none,22,71,85,7,21,26
male,group D,some college,standard,none,81,69,65,24,21,20
female,group B,high school,standard,none,90,63,82,27,19,25
female,group C,high school,standard,completed,84,57,79,25,17,24
male,group B,high school,standard,completed,100,58,60,30,17,18
female,group D,some high school,standard,none,49,55,55,15,16,16
male,group A,some college,free/reduced,none,75,59,82,22,18,25
male,group B,high school,standard,none,84,90,43,25,27,13
male,group D,bachelor's degree,standard,none,100,57,50,30,17,15
female,group B,some high school,free/reduced,completed,83,61,40,25,18,12
female,group C,bachelor's degree,free/reduced,none,65,84,67,20,25,20
male,group B,some college,standard,none,66,55,86,20,16,26
female,group B,some high school,free/reduced,none,45,68,46,14,20,14
female,group B,high school,standard,none,67,66,51,20,20,15
female,group C,some college,free/reduced,none,49,83,82,15,25,25
female,group A,some college,standard,completed,71,76,51,21,23,15
male,group E,associate's degree,standard,completed,36,59,73,11,18,22
female,group D,associate's degree,free/reduced,none,62,100,68,19,30,20
female,group B,master's degree,standard,none,91,61,63,27,18,19
female,group B,high school,free/reduced,completed,61,76,50,18,23,15
female,group C,associate's degree,standard,completed,58,58,66,17,17,20
male,group C,bachelor's degree,standard,completed,70,73,78,21,22,23
female,group B,some high school,standard,completed,55,49,68,16,15,20
female,group E,some high school,free/reduced,none,68,91,59,20,27,18
female,group B,some college,standard,none,60,59,100,18,18,30
male,group C,associate's degree,free/reduced,none,61,48,72,18,14,22
female,group C,master's degree,free/reduced,none,64,80,65,19,24,20
female,group B,high school,standard,none,85,78,66,26,23,20
female,group D,some college,free/reduced,none,70,74,54,21,22,16
male,group D,high school,free/reduced,none,58,39,88,17,12,26
male,group E,some high school,standard,completed,75,63,55,22,19,16
female,group B,high school,standard,none,58,89,59,17,27,18
female,group E,associate's degree,free/reduced,completed,76,40,56,23,12,17
male,group D,high school,standard,none,72,84,49,22,25,15
female,group E,associate's degree,free/reduced,none,66,86,68,20,26,20
male,group E,some college,standard,none,78,76,81,23,23,24
female,group C,associate's degree,standard,none,84,54,70,25,16,21
male,group C,some high school,standard,completed,88,66,82,26,20,25
male,group C,some high school,standard,completed,76,70,84,23,21,25
female,group E,associate's degree,standard,none,80,66,82,24,20,25
female,group B,some college,standard,none,59,91,71,18,27,21
female,group C,some college,standard,none,55,100,89,16,30,27
male,group A,some college,free/reduced,none,76,61,47,23,18,14
female,group D,some college,free/reduced,none,74,67,48,22,20,14
female,group E,high school,free/reduced,none,85,58,54,26,17,16
male,group C,high school,standard,none,65,26,77,20,8,23
male,group B,bachelor's degree,standard,none,23,81,72,7,24,22
male,group A,some high school,standard,none,74,55,77,22,16,23
male,group A,high school,free/reduced,none,34,96,67,10,29,20
female,group C,master's degree,standard,completed,63,73,49,19,22,15
male,group E,some high school,standard,completed,74,66,63,22,20,19
female,group C,high school,standard,none,70,64,48,21,19,14
male,group B,some high school,standard,completed,65,63,28,20,19,8
female,group A,bachelor's degree,standard,none,52,59,63,16,18,19
male,group D,bachelor's degree,free/reduced,completed,57,41,80,17,12,24
female,group B,high school,free/reduced,none,68,79,65,20,24,20
female,group C,some high school,standard,none,30,70,62,9,21,19
female,group A,some high school,standard,completed,75,63,64,22,19,19
female,group D,bachelor's degree,free/reduced,none,73,75,55,22,22,16
male,group E,some college,free/reduced,completed,73,100,78,22,30,23
female,group B,high school,free/reduced,none,40,56,69,12,17,21
female,group C,some high school,free/reduced,none,59,43,56,18,13,17
male,group C,high school,standard,none,51,76,77,15,23,23
female,group C,associate's degree,free/reduced,completed,70,59,67,21,18,20
female,group C,some high school,standard,none,72,62,80,22,19,24
female,group D,some high school,free/reduced,completed,87,80,84,26,24,25
male,group B,some high school,standard,none,72,78,67,22,23,20
female,group A,some college,free/reduced,none,82,68,65,25,20,20
female,group C,bachelor's degree,free/reduced,completed,68,76,68,20,23,20
male,group A,bachelor's degree,standard,none,81,57,72,24,17,22
female,group B,high school,standard,completed,58,59,66,17,18,20
male,group B,some college,standard,none,55,76,56,16,23,17
female,group C,high school,standard,completed,73,66,77,22,20,23
male,group E,high school,standard,none,74,65,91,22,20,27
female,group A,high school,standard,completed,84,67,63,25,20,19
male,group B,associate's degree,free/reduced,completed,69,88,63,21,26,19
female,group C,associate's degree,standard,none,70,68,69,21,20,21
female,group D,high school,free/reduced,none,61,88,91,18,26,27
male,group C,some high school,standard,none,70,83,73,21,25,22
female,group B,high school,free/reduced,completed,60,70,67,18,21,20
male,group B,some college,free/reduced,completed,84,57,64,25,17,19
female,group D,some high school,free/reduced,completed,75,60,38,22,18,11
male,group E,master's degree,standard,none,65,80,71,20,24,21
male,group C,master's degree,standard,completed,48,79,71,14,24,21
male,group D,high school,standard,none,63,45,64,19,14,19
female,group C,high school,standard,none,70,75,64,21,22,19
male,group D,associate's degree,standard,none,65,67,72,20,20,22
male,group C,master's degree,standard,none,57,69,100,17,21,30
female,group A,high school,standard,none,61,76,70,18,23,21
female,group E,some college,standard,none,73,91,86,22,27,26
male,group E,some high school,standard,none,68,71,100,20,21,30
male,group C,some high school,standard,none,61,65,66,18,20,20
female,group B,bachelor's degree,standard,none,87,63,52,26,19,16
male,group B,some college,free/reduced,none,74,86,79,22,26,24
female,group C,bachelor's degree,standard,none,79,84,81,24,25,24
male,group B,high school,standard,completed,64,74,76,19,22,23
male,group C,associate's degree,free/reduced,none,70,87,54,21,26,16
female,group C,associate's degree,standard,none,62,84,61,19,25,18
female,group E,master's degree,free/reduced,none,81,41,69,24,12,21
male,group D,bachelor's degree,free/reduced,completed,82,54,72,25,16,22
female,group C,some college,standard,completed,70,61,44,21,18,13
male,group C,associate's degree,standard,none,59,86,65,18,26,20
male,group D,some college,standard,completed,50,51,81,15,15,24
male,group C,high school,free/reduced,none,89,78,82,27,23,25
male,group B,associate's degree,standard,none,83,72,83,25,22,25
male,group E,associate's degree,free/reduced,completed,71,65,61,21,20,18
male,group C,associate's degree,free/reduced,none,45,69,55,14,21,16
male,group B,high school,standard,none,76,89,86,23,27,26
female,group C,some college,standard,completed,76,57,53,23,17,16
male,group B,associate's degree,standard,completed,46,71,72,14,21,22
male,group E,associate's degree,free/reduced,none,74,56,55,22,17,16
female,group C,bachelor's degree,free/reduced,none,54,75,99,16,22,30
male,group C,some college,free/reduced,none,38,82,60,11,25,18
male,group D,some college,standard,none,77,94,57,23,28,17
male,group C,some high school,standard,none,78,77,48,23,23,14
female,group D,some high school,standard,none,57,62,76,17,19,23
female,group D,associate's degree,standard,none,55,76,63,16,23,19
male,group C,bachelor's degree,standard,completed,83,72,58,25,22,17
female,group E,bachelor's degree,standard,completed,73,61,65,22,18,20
female,group B,high school,free/reduced,none,81,67,72,24,20,22
male,group D,bachelor's degree,free/reduced,none,79,63,69,24,19,21
female,group E,associate's degree,standard,none,100,78,57,30,23,17
female,group C,associate's degree,standard,completed,51,80,85,15,24,26
female,group E,associate's degree,standard,completed,70,92,54,21,28,16
male,group C,high school,free/reduced,none,87,68,40,26,20,12
female,group D,some college,free/reduced,none,51,72,71,15,22,21
male,group D,high school,free/reduced,none,88,89,75,26,27,22
female,group E,some college,standard,completed,66,86,51,20,26,15
female,group E,associate's degree,standard,none,41,71,49,12,21,15
female,group A,master's degree,free/reduced,none,78,73,91,23,22,27
male,group D,some high school,standard,completed,93,88,68,28,26,20
female,group E,associate's degree,standard,none,60,59,53,18,18,16
female,group E,some high school,free/reduced,none,60,87,61,18,26,18
male,group B,high school,free/reduced,none,61,73,82,18,22,25
female,group B,some high school,free/reduced,completed,64,64,68,19,19,20
male,group D,associate's degree,standard,completed,76,67,70,23,20,21
female,group D,some high school,standard,completed,60,61,61,18,18,18
male,group D,master's degree,standard,none,56,59,70,17,18,21
female,group C,master's degree,standard,none,51,80,42,15,24,13
female,group A,high school,free/reduced,completed,42,50,67,13,15,20
female,group D,bachelor's degree,free/reduced,completed,57,85,69,17,26,21
female,group D,some high school,free/reduced,none,58,64,44,17,19,13
male,group D,some college,standard,none,60,78,79,18,23,24
male,group B,high school,standard,none,50,77,74,15,23,22
female,group D,some college,standard,completed,89,75,61,27,22,18
female,group C,bachelor's degree,free/reduced,none,50,100,63,15,30,19
male,group E,bachelor's degree,standard,completed,43,50,36,13,15,11
male,group D,bachelor's degree,free/reduced,none,28,74,86,8,22,26
female,group A,some college,standard,none,65,67,75,20,20,22
female,group C,bachelor's degree,standard,completed,82,69,77,25,21,23
female,group C,bachelor's degree,free/reduced,completed,74,65,75,22,20,22
female,group B,associate's degree,free/reduced,none,67,54,76,20,16,23
female,group E,some college,standard,none,58,54,86,17,16,26
male,group E,bachelor's degree,standard,completed,80,71,71,24,21,21
female,group C,high school,standard,none,83,93,47,25,28,14
female,group C,associate's degree,standard,completed,51,68,40,15,20,12
male,group B,some college,standard,completed,64,51,64,19,15,19
male,group D,high school,free/reduced,none,61,57,82,18,17,25
female,group C,high school,free/reduced,none,59,50,44,18,15,13
male,group D,high school,standard,none,60,79,94,18,24,28
female,group B,associate's degree,free/reduced,none,69,52,65,21,16,20
male,group D,high school,free/reduced,none,64,43,57,19,13,17
male,group E,some high school,standard,completed,71,81,48,21,24,14
male,group E,associate's degree,free/reduced,none,61,78,76,18,23,23
female,group D,high school,free/reduced,completed,62,55,47,19,16,14
male,group E,associate's degree,free/reduced,completed,72,72,54,22,22,16
female,group C,some high school,free/reduced,none,56,65,73,17,20,22
male,group C,some college,free/reduced,completed,85,92,94,26,28,28
male,group D,some college,free/reduced,none,69,62,75,21,19,22
male,group D,associate's degree,free/reduced,completed,81,99,62,24,30,19
male,group C,bachelor's degree,free/reduced,completed,72,75,56,22,22,17
male,group C,associate's degree,standard,completed,73,63,35,22,19,10
male,group D,some college,free/reduced,none,83,53,63,25,16,19
male,group A,associate's degree,standard,none,67,84,32,20,25,10
female,group E,high school,free/reduced,none,49,77,60,15,23,18
male,group D,some college,standard,completed,62,57,94,19,17,28
male,group D,some high school,standard,completed,61,68,78,18,20,23
male,group C,master's degree,free/reduced,completed,64,66,72,19,20,22
female,group D,master's degree,standard,none,51,85,90,15,26,27
male,group C,high school,standard,none,90,67,59,27,20,18
male,group A,some high school,free/reduced,completed,45,93,86,14,28,26
female,group B,high school,standard,none,31,83,86,9,25,26
female,group C,associate's degree,standard,none,69,93,70,21,28,21
male,group B,high school,standard,none,42,100,51,13,30,15
female,group D,some college,free/reduced,none,51,65,51,15,20,15
male,group B,some high school,free/reduced,completed,46,46,81,14,14,24
female,group E,high school,free/reduced,completed,67,38,84,20,11,25
male,group E,high school,standard,none,56,66,62,17,20,19
female,group D,some college,standard,completed,68,62,86,20,19,26
female,group E,some high school,free/reduced,none,58,46,59,17,14,18
male,group C,high school,standard,completed,63,81,55,19,24,16
female,group C,some college,standard,none,74,100,73,22,30,22
male,group E,associate's degree,standard,none,57,77,75,17,23,22
male,group C,some college,standard,none,66,86,48,20,26,14
female,group D,master's degree,standard,none,56,65,76,17,20,23
female,group D,high school,standard,none,86,100,52,26,30,16
male,group C,high school,standard,none,48,74,42,14,22,13
female,group A,some college,standard,none,54,73,89,16,22,27
female,group D,some high school,free/reduced,none,65,67,62,20,20,19
female,group E,associate's degree,standard,none,91,49,67,27,15,20
female,group C,some high school,free/reduced,completed,89,68,100,27,20,30
male,group D,some college,standard,none,40,65,83,12,20,25
female,group D,some college,standard,none,78,62,79,23,19,24
male,group A,some high school,standard,completed,68,66,85,20,20,26
male,group C,some college,standard,none,75,64,73,22,19,22
female,group E,associate's degree,standard,none,72,73,59,22,22,18
female,group B,bachelor's degree,standard,none,42,48,90,13,14,27
female,group D,bachelor's degree,standard,none,69,71,53,21,21,16
male,group C,some high school,standard,completed,69,65,78,21,20,23
female,group A,high school,free/reduced,completed,71,98,81,21,29,24
female,group D,some college,free/reduced,none,52,96,63,16,29,19
female,group A,some college,standard,none,50,45,76,15,14,23
female,group C,some college,standard,completed,70,57,36,21,17,11
male,group B,some college,free/reduced,completed,100,65,65,30,20,20
male,group C,associate's degree,standard,none,69,77,77,21,23,23
male,group D,high school,standard,completed,85,82,71,26,25,21
female,group C,associate's degree,standard,none,80,78,100,24,23,30
female,group B,high school,free/reduced,none,55,64,42,16,19,13
male,group D,some high school,standard,none,78,51,92,23,15,28
male,group B,some high school,standard,completed,73,78,76,22,23,23
female,group A,some college,standard,completed,64,60,66,19,18,20
female,group C,some high school,standard,none,39,59,78,12,18,23
male,group A,high school,standard,none,93,73,78,28,22,23
female,group C,associate's degree,standard,none,61,73,56,18,22,17
male,group E,some high school,standard,completed,69,75,44,21,22,13
female,group A,some high school,free/reduced,none,70,88,68,21,26,20
female,group D,some college,free/reduced,completed,97,66,49,29,20,15
male,group E,high school,free/reduced,completed,54,62,89,16,19,27
female,group B,some high school,standard,completed,54,86,70,16,26,21
female,group D,associate's degree,free/reduced,none,74,63,68,22,19,20
female,group D,bachelor's degree,free/reduced,none,50,49,87,15,15,26
